ds,y,year,month,day
2006-02-13,2.567,2006,02,13
2006-02-06,2.589,2006,02,06
2006-01-30,2.558,2006,01,30
2006-01-23,2.469,2006,01,23
2006-01-16,2.462,2006,01,16
2006-01-09,2.372,2006,01,09
2006-01-02,2.259,2006,01,02
2005-12-26,2.278,2005,12,26
2005-12-19,2.295,2005,12,19
2005-12-12,2.323,2005,12,12
2005-12-05,2.379,2005,12,05
2005-11-28,2.456,2005,11,28
2005-11-21,2.498,2005,11,21
2005-11-14,2.624,2005,11,14
2005-11-07,2.703,2005,11,07
2005-10-31,2.79,2005,10,31
2005-10-24,2.869,2005,10,24
2005-10-17,2.945,2005,10,17
2005-10-10,3.008,2005,10,10
2005-10-03,3.017,2005,10,03
2005-09-26,2.989,2005,09,26
2005-09-19,2.997,2005,09,19
2005-09-12,3.046,2005,09,12
2005-09-05,3.096,2005,09,05
2005-08-29,2.812,2005,08,29
2005-08-22,2.793,2005,08,22
2005-08-15,2.76,2005,08,15
2005-08-08,2.645,2005,08,08
2005-08-01,2.593,2005,08,01
2005-07-25,2.585,2005,07,25
2005-07-18,2.581,2005,07,18
2005-07-11,2.568,2005,07,11
2005-07-04,2.501,2005,07,04
2005-06-27,2.458,2005,06,27
2005-06-20,2.398,2005,06,20
2005-06-13,2.378,2005,06,13
2005-06-06,2.405,2005,06,06
2005-05-30,2.437,2005,05,30
2005-05-23,2.48,2005,05,23
2005-05-16,2.519,2005,05,16
2005-05-09,2.561,2005,05,09
2005-05-02,2.605,2005,05,02
2005-04-25,2.611,2005,04,25
2005-04-18,2.629,2005,04,18
2005-04-11,2.637,2005,04,11
2005-04-04,2.508,2005,04,04
2005-03-28,2.421,2005,03,28
2005-03-21,2.358,2005,03,21
2005-03-14,2.332,2005,03,14
2005-03-07,2.274,2005,03,07
2005-02-28,2.221,2005,02,28
2005-02-21,2.195,2005,02,21
2005-02-14,2.137,2005,02,14
2005-02-07,2.1,2005,02,07
2005-01-31,2.081,2005,01,31
2005-01-24,2.007,2005,01,24
2005-01-17,1.982,2005,01,17
2005-01-10,1.981,2005,01,10
2005-01-03,2.029,2005,01,03
2004-12-27,2.055,2004,12,27
2004-12-20,2.096,2004,12,20
2004-12-13,2.182,2004,12,13
2004-12-06,2.238,2004,12,06
2004-11-29,2.281,2004,11,29
2004-11-22,2.309,2004,11,22
2004-11-15,2.356,2004,11,15
2004-11-08,2.387,2004,11,08
2004-11-01,2.416,2004,11,01
2004-10-25,2.441,2004,10,25
2004-10-18,2.448,2004,10,18
2004-10-11,2.372,2004,10,11
2004-10-04,2.243,2004,10,04
2004-09-27,2.14,2004,09,27
2004-09-20,2.103,2004,09,20
2004-09-13,2.098,2004,09,13
2004-09-06,2.118,2004,09,06
2004-08-30,2.146,2004,08,30
2004-08-23,2.097,2004,08,23
2004-08-16,2.1,2004,08,16
2004-08-09,2.139,2004,08,09
2004-08-02,2.173,2004,08,02
2004-07-26,2.208,2004,07,26
2004-07-19,2.234,2004,07,19
2004-07-12,2.241,2004,07,12
2004-07-05,2.25,2004,07,05
2004-06-28,2.281,2004,06,28
2004-06-21,2.306,2004,06,21
2004-06-14,2.337,2004,06,14
2004-06-07,2.363,2004,06,07
2004-05-31,2.374,2004,05,31
2004-05-24,2.369,2004,05,24
2004-05-17,2.316,2004,05,17
2004-05-10,2.271,2004,05,10
2004-05-03,2.162,2004,05,03
2004-04-26,2.17,2004,04,26
2004-04-19,2.194,2004,04,19
2004-04-12,2.204,2004,04,12
2004-04-05,2.173,2004,04,05
2004-03-29,2.126,2004,03,29
2004-03-22,2.131,2004,03,22
2004-03-15,2.144,2004,03,15
2004-03-08,2.16,2004,03,08
2004-03-01,2.156,2004,03,01
2004-02-23,2.075,2004,02,23
2004-02-16,1.913,2004,02,16
2004-02-09,1.869,2004,02,09
2004-02-02,1.8,2004,02,02
2004-01-26,1.773,2004,01,26
2004-01-19,1.737,2004,01,19
2004-01-12,1.714,2004,01,12
2004-01-05,1.664,2004,01,05
2003-12-29,1.645,2003,12,29
2003-12-22,1.663,2003,12,22
2003-12-15,1.672,2003,12,15
2003-12-08,1.7,2003,12,08
2003-12-01,1.727,2003,12,01
2003-11-24,1.738,2003,11,24
2003-11-17,1.727,2003,11,17
2003-11-10,1.734,2003,11,10
2003-11-03,1.76,2003,11,03
2003-10-27,1.784,2003,10,27
2003-10-20,1.817,2003,10,20
2003-10-13,1.853,2003,10,13
2003-10-06,1.902,2003,10,06
2003-09-29,1.958,2003,09,29
2003-09-22,2.024,2003,09,22
2003-09-15,2.08,2003,09,15
2003-09-08,2.131,2003,09,08
2003-09-01,2.146,2003,09,01
2003-08-25,2.147,2003,08,25
2003-08-18,1.965,2003,08,18
2003-08-11,1.789,2003,08,11
2003-08-04,1.75,2003,08,04
2003-07-28,1.754,2003,07,28
2003-07-21,1.771,2003,07,21
2003-07-14,1.802,2003,07,14
2003-07-07,1.83,2003,07,07
2003-06-30,1.845,2003,06,30
2003-06-23,1.849,2003,06,23
2003-06-16,1.832,2003,06,16
2003-06-09,1.742,2003,06,09
2003-06-02,1.778,2003,06,02
2003-05-26,1.81,2003,05,26
2003-05-19,1.858,2003,05,19
2003-05-12,1.914,2003,05,12
2003-05-05,1.976,2003,05,05
2003-04-28,2.025,2003,04,28
2003-04-21,2.057,2003,04,21
2003-04-14,2.125,2003,04,14
2003-04-07,2.162,2003,04,07
2003-03-31,2.178,2003,03,31
2003-03-24,2.19,2003,03,24
2003-03-17,2.191,2003,03,17
2003-03-10,2.131,2003,03,10
2003-03-03,2.059,2003,03,03
2003-02-24,1.97,2003,02,24
2003-02-17,1.909,2003,02,17
2003-02-10,1.801,2003,02,10
2003-02-03,1.731,2003,02,03
2003-01-27,1.698,2003,01,27
2003-01-20,1.682,2003,01,20
2003-01-13,1.642,2003,01,13
2003-01-06,1.627,2003,01,06
2002-12-30,1.582,2002,12,30
2002-12-23,1.569,2002,12,23
2002-12-16,1.575,2002,12,16
2002-12-09,1.589,2002,12,09
2002-12-02,1.611,2002,12,02
2002-11-25,1.616,2002,11,25
2002-11-18,1.633,2002,11,18
2002-11-11,1.638,2002,11,11
2002-11-04,1.609,2002,11,04
2002-10-28,1.568,2002,10,28
2002-10-21,1.572,2002,10,21
2002-10-14,1.582,2002,10,14
2002-10-07,1.595,2002,10,07
2002-09-30,1.607,2002,09,30
2002-09-23,1.617,2002,09,23
2002-09-16,1.628,2002,09,16
2002-09-09,1.637,2002,09,09
2002-09-02,1.647,2002,09,02
2002-08-26,1.641,2002,08,26
2002-08-19,1.629,2002,08,19
2002-08-12,1.635,2002,08,12
2002-08-05,1.642,2002,08,05
2002-07-29,1.627,2002,07,29
2002-07-22,1.639,2002,07,22
2002-07-15,1.651,2002,07,15
2002-07-08,1.66,2002,07,08
2002-07-01,1.664,2002,07,01
2002-06-24,1.665,2002,06,24
2002-06-17,1.647,2002,06,17
2002-06-10,1.61,2002,06,10
2002-06-03,1.61,2002,06,03
2002-05-27,1.602,2002,05,27
2002-05-20,1.606,2002,05,20
2002-05-13,1.621,2002,05,13
2002-05-06,1.637,2002,05,06
2002-04-29,1.654,2002,04,29
2002-04-22,1.66,2002,04,22
2002-04-15,1.664,2002,04,15
2002-04-08,1.668,2002,04,08
2002-04-01,1.638,2002,04,01
2002-03-25,1.605,2002,03,25
2002-03-18,1.545,2002,03,18
2002-03-11,1.499,2002,03,11
2002-03-04,1.378,2002,03,04
2002-02-25,1.349,2002,02,25
2002-02-18,1.331,2002,02,18
2002-02-11,1.299,2002,02,11
2002-02-04,1.295,2002,02,04
2002-01-28,1.269,2002,01,28
2002-01-21,1.251,2002,01,21
2002-01-14,1.228,2002,01,14
2002-01-07,1.174,2002,01,07
2001-12-31,1.146,2001,12,31
2001-12-24,1.155,2001,12,24
2001-12-17,1.186,2001,12,17
2001-12-10,1.243,2001,12,10
2001-12-03,1.289,2001,12,03
2001-11-26,1.338,2001,11,26
2001-11-19,1.38,2001,11,19
2001-11-12,1.424,2001,11,12
2001-11-05,1.468,2001,11,05
2001-10-29,1.515,2001,10,29
2001-10-22,1.55,2001,10,22
2001-10-15,1.596,2001,10,15
2001-10-08,1.628,2001,10,08
2001-10-01,1.671,2001,10,01
2001-09-24,1.705,2001,09,24
2001-09-17,1.717,2001,09,17
2001-09-10,1.722,2001,09,10
2001-09-03,1.689,2001,09,03
2001-08-27,1.582,2001,08,27
2001-08-20,1.572,2001,08,20
2001-08-13,1.61,2001,08,13
2001-08-06,1.666,2001,08,06
2001-07-30,1.719,2001,07,30
2001-07-23,1.773,2001,07,23
2001-07-16,1.821,2001,07,16
2001-07-09,1.87,2001,07,09
2001-07-02,1.904,2001,07,02
2001-06-25,1.949,2001,06,25
2001-06-18,1.977,2001,06,18
2001-06-11,1.994,2001,06,11
2001-06-04,1.978,2001,06,04
2001-05-28,1.995,2001,05,28
2001-05-21,1.998,2001,05,21
2001-05-14,1.999,2001,05,14
2001-05-07,1.98,2001,05,07
2001-04-30,1.91,2001,04,30
2001-04-23,1.871,2001,04,23
2001-04-16,1.841,2001,04,16
2001-04-09,1.799,2001,04,09
2001-04-02,1.762,2001,04,02
2001-03-26,1.729,2001,03,26
2001-03-19,1.74,2001,03,19
2001-03-12,1.744,2001,03,12
2001-03-05,1.738,2001,03,05
2001-02-26,1.706,2001,02,26
2001-02-19,1.704,2001,02,19
2001-02-12,1.682,2001,02,12
2001-02-05,1.635,2001,02,05
2001-01-29,1.612,2001,01,29
2001-01-22,1.629,2001,01,22
2001-01-15,1.646,2001,01,15
2001-01-08,1.67,2001,01,08
2001-01-01,1.675,2001,01,01
2000-12-25,1.694,2000,12,25
2000-12-18,1.707,2000,12,18
2000-12-11,1.736,2000,12,11
2000-12-04,1.767,2000,12,04
2000-11-27,1.789,2000,11,27
2000-11-20,1.798,2000,11,20
2000-11-13,1.821,2000,11,13
2000-11-06,1.836,2000,11,06
2000-10-30,1.841,2000,10,30
2000-10-23,1.841,2000,10,23
2000-10-16,1.854,2000,10,16
2000-10-09,1.869,2000,10,09
2000-10-02,1.877,2000,10,02
2000-09-25,1.874,2000,09,25
2000-09-18,1.875,2000,09,18
2000-09-11,1.893,2000,09,11
2000-09-04,1.833,2000,09,04
2000-08-28,1.746,2000,08,28
2000-08-21,1.71,2000,08,21
2000-08-14,1.714,2000,08,14
2000-08-07,1.71,2000,08,07
2000-07-31,1.726,2000,07,31
2000-07-24,1.756,2000,07,24
2000-07-17,1.763,2000,07,17
2000-07-10,1.773,2000,07,10
2000-07-03,1.754,2000,07,03
2000-06-26,1.687,2000,06,26
2000-06-19,1.664,2000,06,19
2000-06-12,1.662,2000,06,12
2000-06-05,1.661,2000,06,05
2000-05-29,1.673,2000,05,29
2000-05-22,1.679,2000,05,22
