,ds,y
199,1959-08-01,53.03853
200,1959-09-01,53.68375
201,1959-10-01,54.36595
202,1959-11-01,54.79481
203,1959-12-01,56.01068
204,1960-01-01,56.01558
205,1960-02-01,56.36463
206,1960-03-01,56.86288
207,1960-04-01,57.7114
208,1960-05-01,57.95103
209,1960-06-01,58.38706
210,1960-07-01,58.74671
211,1960-08-01,58.94715
212,1960-09-01,59.36465
213,1960-10-01,59.62899
214,1960-11-01,59.87401
215,1960-12-01,60.02531
216,1961-01-01,60.67185
217,1961-02-01,60.31013
218,1961-03-01,60.45546
219,1961-04-01,60.07587
220,1961-05-01,60.17969
221,1961-06-01,60.33475
222,1961-07-01,60.39598
223,1961-08-01,60.61948
224,1961-09-01,60.88309
225,1961-10-01,61.15822
226,1961-11-01,61.74829
227,1961-12-01,62.24853
228,1962-01-01,62.2828
229,1962-02-01,62.64035
230,1962-03-01,63.12857
231,1962-04-01,63.86691
232,1962-05-01,64.60104
233,1962-06-01,65.13742
234,1962-07-01,65.51218
235,1962-08-01,66.05512
236,1962-09-01,66.43833
237,1962-10-01,67.02888
238,1962-11-01,67.6421
239,1962-12-01,68.12672
240,1963-01-01,68.65646
241,1963-02-01,69.37675
242,1963-03-01,70.07341
243,1963-04-01,70.80161
244,1963-05-01,71.33514
245,1963-06-01,71.87559
246,1963-07-01,72.71645
247,1963-08-01,73.57616
248,1963-09-01,74.16977
249,1963-10-01,75.11295
250,1963-11-01,75.60692
251,1963-12-01,76.58145
252,1964-01-01,77.46136
253,1964-02-01,78.33623
254,1964-03-01,79.24041
255,1964-04-01,79.90816
256,1964-05-01,80.83452
257,1964-06-01,81.42818
258,1964-07-01,82.2945
259,1964-08-01,82.97305
260,1964-09-01,83.92197
261,1964-10-01,84.53018
262,1964-11-01,84.94403
263,1964-12-01,85.95957
264,1965-01-01,87.18259
265,1965-02-01,88.15204
266,1965-03-01,88.91607
267,1965-04-01,90.04741
268,1965-05-01,90.88588
269,1965-06-01,91.83009
270,1965-07-01,92.69463
271,1965-08-01,93.2871
272,1965-09-01,94.12648
273,1965-10-01,94.80453
274,1965-11-01,95.40527
275,1965-12-01,95.95472
276,1966-01-01,97.03072
277,1966-02-01,97.75836
278,1966-03-01,98.44639
279,1966-04-01,98.80509
280,1966-05-01,99.30544
281,1966-06-01,99.78867
282,1966-07-01,100.06144
283,1966-08-01,100.5867
284,1966-09-01,100.67245
285,1966-10-01,100.95307
286,1966-11-01,101.43735
287,1966-12-01,101.78822
288,1967-01-01,102.19855
289,1967-02-01,102.36259
290,1967-03-01,102.73216
291,1967-04-01,102.88594
292,1967-05-01,103.1514
293,1967-06-01,103.74104
294,1967-07-01,104.09425
295,1967-08-01,104.67752
296,1967-09-01,105.17229
297,1967-10-01,105.44072
298,1967-11-01,106.29661
299,1967-12-01,106.84264
300,1968-01-01,106.7724
301,1968-02-01,107.92842
302,1968-03-01,108.68905
303,1968-04-01,109.59758
304,1968-05-01,110.37701
305,1968-06-01,111.06785
306,1968-07-01,112.1237
307,1968-08-01,112.84495
308,1968-09-01,113.75424
309,1968-10-01,115.22826
310,1968-11-01,116.19605
311,1968-12-01,117.39909
312,1969-01-01,118.22598
313,1969-02-01,119.44904
314,1969-03-01,120.43148
315,1969-04-01,121.52369
316,1969-05-01,122.56481
317,1969-06-01,123.38066
318,1969-07-01,124.00398
319,1969-08-01,124.60868
320,1969-09-01,125.31914
321,1969-10-01,126.01972
322,1969-11-01,126.56923
323,1969-12-01,127.15618
324,1970-01-01,127.80299
325,1970-02-01,128.19115
326,1970-03-01,128.28
327,1970-04-01,128.37472
328,1970-05-01,128.53404
329,1970-06-01,129.18543
330,1970-07-01,129.85691
331,1970-08-01,130.1846
332,1970-09-01,130.85083
333,1970-10-01,131.11307
334,1970-11-01,130.80743
335,1970-12-01,131.55155
336,1971-01-01,134.16406
337,1971-02-01,134.93292
338,1971-03-01,135.73629
339,1971-04-01,136.99253
340,1971-05-01,137.84093
341,1971-06-01,138.76893
342,1971-07-01,139.90802
343,1971-08-01,141.25209
344,1971-09-01,142.76657
345,1971-10-01,143.92676
346,1971-11-01,145.63484
347,1971-12-01,146.93018
348,1972-01-01,147.66048
349,1972-02-01,148.92454
350,1972-03-01,150.77106
351,1972-04-01,152.32195
352,1972-05-01,154.19949
353,1972-06-01,156.15301
354,1972-07-01,157.27992
355,1972-08-01,158.93936
356,1972-09-01,160.55329
357,1972-10-01,162.22503
358,1972-11-01,164.10159
359,1972-12-01,166.1891
360,1973-01-01,169.29467
361,1973-02-01,171.60183
362,1973-03-01,173.90894
363,1973-04-01,175.76268
364,1973-05-01,178.12795
365,1973-06-01,180.42927
366,1973-07-01,182.3182
367,1973-08-01,184.32651
368,1973-09-01,185.34551
369,1973-10-01,187.47609
370,1973-11-01,189.3088
371,1973-12-01,190.08631
372,1974-01-01,191.31247
373,1974-02-01,192.51536
374,1974-03-01,193.35799
375,1974-04-01,194.60355
376,1974-05-01,195.8699
377,1974-06-01,196.8878
378,1974-07-01,198.29354
379,1974-08-01,199.3168
380,1974-09-01,199.61712
381,1974-10-01,199.53477
382,1974-11-01,199.25468
383,1974-12-01,198.91784
384,1975-01-01,199.0636
385,1975-02-01,199.50775
386,1975-03-01,199.10994
387,1975-04-01,198.74286
388,1975-05-01,198.73721
389,1975-06-01,196.04336
390,1975-07-01,197.57936
391,1975-08-01,198.21159
392,1975-09-01,199.42896
393,1975-10-01,200.43428
394,1975-11-01,201.49288
395,1975-12-01,204.002
396,1976-01-01,205.52079
397,1976-02-01,206.70929
398,1976-03-01,208.33857
399,1976-04-01,210.50006
400,1976-05-01,211.40742
401,1976-06-01,213.2401
402,1976-07-01,215.2727
403,1976-08-01,216.50986
404,1976-09-01,218.70878
405,1976-10-01,220.8671
406,1976-11-01,222.80491
407,1976-12-01,225.72159
408,1977-01-01,225.73315
409,1977-02-01,228.52821
410,1977-03-01,232.34827
411,1977-04-01,235.59405
412,1977-05-01,239.01809
413,1977-06-01,242.40858
414,1977-07-01,245.48106
415,1977-08-01,248.47453
416,1977-09-01,251.2618
417,1977-10-01,255.41564
418,1977-11-01,258.77291
419,1977-12-01,260.5627
420,1978-01-01,262.76532
421,1978-02-01,265.73802
422,1978-03-01,270.26281
423,1978-04-01,274.13698
424,1978-05-01,279.25657
425,1978-06-01,285.10077
426,1978-07-01,288.80554
427,1978-08-01,292.81311
428,1978-09-01,296.17942
429,1978-10-01,298.81249
430,1978-11-01,302.7302
431,1978-12-01,306.10039
432,1979-01-01,309.90309
433,1979-02-01,313.52378
434,1979-03-01,317.20074
435,1979-04-01,320.94487
436,1979-05-01,325.17739
437,1979-06-01,328.17274
438,1979-07-01,331.98999
439,1979-08-01,335.78546
